koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag,koipos,koineg,koiperpos,koiperneg,koitimepos,koitimeneg,koidurpos,koidurneg,koidepthpos,koidepthneg,koipradpos,koipradneg,koiteqpos,koiteqneg,koinsolpos,koinsolneg,koisteffpos,koisteffneg,koisloggpos,koisloggneg,koisradpos,koisradneg
CONFIRMED,CANDIDATE,1,38.3775486,0.0001602,-0.0001602,172.82048,0.00338,-0.00338,5.588,0.113,-0.113,724.2,23.4,-23.4,2.82,0.37,-0.34,529,0,0,18.53,6.72,-4.93,34.7,5481,82,-74,4.369,0.121,-0.099,1.036,0.138,-0.124,15.172,38.3777088,38.3773884,38.3777088,38.3773884,172.82386,172.8171,5.701,5.475,747.6,700.8,3.19,2.48,529,529,25.25,13.6,5563,5407,4.49,4.27,1.174,0.912
CONFIRMED,CANDIDATE,0.992,41.19725502,0.00009345,-0.00009345,165.00404,0.00171,-0.00171,4.6297,0.0633,-0.0633,2213.9,45.5,-45.5,3.86,0.15,-0.33,439,0,0,8.76,1.27,-1.9,51.2,5031,75,-83,4.485,0.083,-0.028,0.848,0.033,-0.072,15.841,41.19734847,41.19716157,41.19734847,41.19716157,165.00575,165.00233,4.693,4.5664,2259.4,2168.4,4.01,3.53,439,439,10.03,6.86,5106,4948,4.568,4.457,0.881,0.776
CONFIRMED,CANDIDATE,1,6.252962249,0.000009577,-0.000009577,171.30126,0.00117,-0.00117,2.5819,0.0426,-0.0426,1036.9,24.5,-24.5,2.65,0.1,-0.23,823,0,0,108.3,15.73,-23.44,47.1,5031,75,-83,4.485,0.083,-0.028,0.848,0.033,-0.072,15.841,6.252971826,6.252952672,6.252971826,6.252952672,171.30243,171.30009,2.6245,2.5393,1061.4,1012.4,2.75,2.42,823,823,124.03,84.86,5106,4948,4.568,4.457,0.881,0.776
CONFIRMED,CANDIDATE,1,16.01308419,0.00004854,-0.00004854,176.3608,0.00243,-0.00243,3.2554,0.0791,-0.0791,1121.9,39.4,-39.4,3.1,0.34,-0.31,593,0,0,29.31,11.77,-8.24,33.2,5015,164,-149,4.499,0.092,-0.115,0.826,0.091,-0.082,15.39,16.01313273,16.01303565,16.01313273,16.01303565,176.36323,176.35837,3.3345,3.1763,1161.3,1082.5,3.44,2.79,593,593,41.08,21.07,5179,4866,4.591,4.384,0.917,0.744
CONFIRMED,CANDIDATE,1,32.62876672,0.00005801,-0.00005801,194.1019,0.00138,-0.00138,4.7971,0.058,-0.058,1804.8,25.4,-25.4,3.36,0.76,-0.33,506,0,0,15.55,10.51,-4.18,80,5586,152,-152,4.56,0.05,-0.15,0.798,0.181,-0.077,15.082,32.62882473,32.62870871,32.62882473,32.62870871,194.10328,194.10052,4.8551,4.7391,1830.2,1779.4,4.12,3.03,506,506,26.06,11.37,5738,5434,4.61,4.41,0.979,0.721
CONFIRMED,CANDIDATE,0.978,91.7732862,0.0007518,-0.0007518,193.8378,0.00643,-0.00643,6.473,0.204,-0.204,652,36.2,-36.2,2.12,0.48,-0.21,359,0,0,3.92,2.64,-1.06,19.1,5586,152,-152,4.56,0.05,-0.15,0.798,0.181,-0.077,15.082,91.774038,91.7725344,91.774038,91.7725344,193.84423,193.83137,6.677,6.269,688.2,615.8,2.6,1.91,359,359,6.56,2.86,5738,5434,4.61,4.41,0.979,0.721
CONFIRMED,CANDIDATE,1,4.959319244,0.000000515,-0.000000515,172.2585292,0.0000827,-0.0000827,2.22739,0.0075,-0.0075,9802,20,-20,12.21,1.96,-1.46,1103,0,0,349.4,146.52,-93.21,696.5,5712,77,-77,4.359,0.11,-0.11,1.082,0.173,-0.13,15.263,4.959319759,4.959318729,4.959319759,4.959318729,172.2586119,172.2584465,2.23489,2.21989,9822,9782,14.17,10.75,1103,1103,495.92,256.19,5789,5635,4.469,4.249,1.255,0.952
FALSE POSITIVE,FALSE POSITIVE,0,2.701287801,0.000005634,-0.000005634,170.69579,0.00164,-0.00164,3.3827,0.0892,-0.0892,860.4,20.9,-20.9,6.54,1.64,-0.75,1222,0,0,527.81,411.33,-166.35,48.3,5550,182,-182,4.468,0.091,-0.169,0.91,0.228,-0.105,15.54,2.701293435,2.701282167,2.701293435,2.701282167,170.69743,170.69415,3.4719,3.2935,881.3,839.5,8.18,5.79,1222,1222,939.14,361.46,5732,5368,4.559,4.299,1.138,0.805
CONFIRMED,CANDIDATE,1,4.49876511,0.00001777,-0.00001777,171.34905,0.003,-0.003,3.7362,0.0934,-0.0934,460,17.5,-17.5,2.1,0.65,-0.22,1133,0,0,389.62,365.71,-117.4,29.5,6075,189,-210,4.486,0.052,-0.208,0.969,0.3,-0.1,15.395,4.49878288,4.49874734,4.49878288,4.49874734,171.35205,171.34605,3.8296,3.6428,477.5,442.5,2.75,1.88,1133,1133,755.33,272.22,6264,5865,4.538,4.278,1.269,0.869
FALSE POSITIVE,FALSE POSITIVE,0,19.65120951,0.000005862,-0.000005862,179.401981,0.000249,-0.000249,5.2514,0.0179,-0.0179,11766,27.7,-27.7,12.42,3.92,-1.69,730,0,0,67.03,62.46,-23.51,513.4,6074,168,-210,4.391,0.09,-0.21,1.063,0.336,-0.144,15.536,19.65121537,19.65120364,19.65121537,19.65120364,179.40223,179.401732,5.2693,5.2335,11793.7,11738.3,16.34,10.73,730,730,129.49,43.52,6242,5864,4.481,4.181,1.399,0.919
CONFIRMED,CANDIDATE,1,5.412203927,0.000003052,-0.000003052,133.143089,0.000468,-0.000468,2.9472,0.024,-0.024,601.6,4,-4,2.94,0.43,-0.38,1093,0,0,337.68,137.29,-102.18,166.7,5779,104,-115,4.339,0.132,-0.108,1.087,0.157,-0.142,12.791,5.412206979,5.412200875,5.412206979,5.412200875,133.143557,133.142621,2.9712,2.9232,605.6,597.6,3.37,2.56,1093,1093,474.97,235.5,5883,5664,4.471,4.231,1.244,0.945
CONFIRMED,CANDIDATE,0.998,41.43958662,0.00007557,-0.00007557,208.93203,0.00142,-0.00142,10.5989,0.088,-0.088,2793.1,22.6,-22.6,5.5,1.57,-0.96,516,0,0,16.72,14.66,-6.64,141.1,5468,180,-164,4.367,0.153,-0.187,1.046,0.297,-0.183,15.4,41.43966219,41.43951105,41.43966219,41.43951105,208.93345,208.93061,10.6869,10.5109,2815.7,2770.5,7.07,4.54,516,516,31.38,10.08,5648,5304,4.52,4.18,1.343,0.863
CONFIRMED,CANDIDATE,1,8.35389523,0.00001524,-0.00001524,171.63257,0.00133,-0.00133,2.2514,0.0518,-0.0518,1041.6,28.2,-28.2,2.52,0.54,-0.24,790,0,0,91.9,59.06,-24.15,43.4,5592,152,-152,4.582,0.036,-0.144,0.787,0.169,-0.073,15.317,8.35391047,8.35387999,8.35391047,8.35387999,171.6339,171.63124,2.3032,2.1996,1069.8,1013.4,3.06,2.28,790,790,150.96,67.75,5744,5440,4.618,4.438,0.956,0.714
CONFIRMED,CANDIDATE,1,4.125543472,0.000003133,-0.000003133,169.752585,0.000613,-0.000613,3.1744,0.0362,-0.0362,1487.3,13.3,-13.3,4.43,1.44,-0.51,1243,0,0,565.35,542.47,-188.14,128.6,6174,173,-239,4.417,0.056,-0.21,1.103,0.358,-0.128,15.506,4.125546605,4.125540339,4.125546605,4.125540339,169.753198,169.751972,3.2106,3.1382,1500.6,1474,5.87,3.92,1243,1243,1107.82,377.21,6347,5935,4.473,4.207,1.461,0.975
CONFIRMED,CANDIDATE,1,2.816504904,0.000000165,-0.000000165,170.9676846,0.0000466,-0.0000466,2.50587,0.00666,-0.00666,16814,11,-11,12.21,1.62,-0.87,1219,0,0,521.13,184.34,-97.95,1406.8,5532,74,-83,4.452,0.063,-0.108,0.955,0.127,-0.068,15.052,2.816505069,2.816504739,2.816505069,2.816504739,170.9677312,170.967638,2.51253,2.49921,16825,16803,13.83,11.34,1219,1219,705.47,423.18,5606,5449,4.515,4.344,1.082,0.887
FALSE POSITIVE,FALSE POSITIVE,0,33.93373447,0.00006154,-0.00006154,186.67608,0.00137,-0.00137,14.561,0.104,-0.104,8503.7,44.3,-44.3,7.34,0.9,-0.6,430,0,0,8.11,3.25,-2.06,236.1,5040,136,-151,4.628,0.03,-0.07,0.705,0.086,-0.058,15.716,33.93379601,33.93367293,33.93379601,33.93367293,186.67745,186.67471,14.665,14.457,8548,8459.4,8.24,6.74,430,430,11.36,6.05,5176,4889,4.658,4.558,0.791,0.647
CONFIRMED,CANDIDATE,1,3.689920099,0.000008982,-0.000008982,170.36571,0.00191,-0.00191,2.6557,0.0677,-0.0677,426.7,13.8,-13.8,1.89,0.54,-0.2,1147,0,0,408.99,342.24,-123.32,35.6,5880,157,-192,4.518,0.046,-0.196,0.917,0.262,-0.098,15.242,3.689929081,3.689911117,3.689929081,3.689911117,170.36762,170.3638,2.7234,2.588,440.5,412.9,2.43,1.69,1147,1147,751.23,285.67,6037,5688,4.564,4.322,1.179,0.819
